#doc source pos typeindex type topic
#alpha : 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#beta : 0.01
16 ../../../data/input/txt/261_1525_0.txt 2 268 magician's 94
16 ../../../data/input/txt/261_1525_0.txt 3 269 mind 25
16 ../../../data/input/txt/261_1525_0.txt 4 270 ordinary 25
16 ../../../data/input/txt/261_1525_0.txt 5 271 acts 32
16 ../../../data/input/txt/261_1525_0.txt 6 272 feats 25
16 ../../../data/input/txt/261_1525_0.txt 7 273 thinking 78
16 ../../../data/input/txt/261_1525_0.txt 8 274 mankind 25
17 ../../../data/input/txt/327_1336_0.txt 0 275 aurora 34
17 ../../../data/input/txt/327_1336_0.txt 1 276 effort 71
17 ../../../data/input/txt/327_1336_0.txt 2 42 celestial 94
17 ../../../data/input/txt/327_1336_0.txt 3 277 face 65
17 ../../../data/input/txt/327_1336_0.txt 4 278 unconsciousness 71
17 ../../../data/input/txt/327_1336_0.txt 5 279 perfectness 28
17 ../../../data/input/txt/327_1336_0.txt 6 280 simulate 10
18 ../../../data/input/txt/1605_493_0.txt 0 281 tie 91
18 ../../../data/input/txt/1605_493_0.txt 1 282 strings 41
18 ../../../data/input/txt/1605_493_0.txt 2 283 life 41
18 ../../../data/input/txt/1605_493_0.txt 3 284 lord 37
18 ../../../data/input/txt/1605_493_0.txt 4 285 ready 8
18 ../../../data/input/txt/1605_493_0.txt 5 286 horses 98
18 ../../../data/input/txt/1605_493_0.txt 6 287 rapid 4
18 ../../../data/input/txt/1605_493_0.txt 7 288 put 91
18 ../../../data/input/txt/1605_493_0.txt 8 289 firmest 8
18 ../../../data/input/txt/1605_493_0.txt 9 290 side 91
18 ../../../data/input/txt/1605_493_0.txt 10 291 fall 69
18 ../../../data/input/txt/1605_493_0.txt 11 292 ride 98
18 ../../../data/input/txt/1605_493_0.txt 12 293 judgment 80
18 ../../../data/input/txt/1605_493_0.txt 13 35 it's 8
18 ../../../data/input/txt/1605_493_0.txt 14 294 partly 41
18 ../../../data/input/txt/1605_493_0.txt 15 295 hill 91
18 ../../../data/input/txt/1605_493_0.txt 16 269 mind 35
18 ../../../data/input/txt/1605_493_0.txt 17 296 steepest 41
18 ../../../data/input/txt/1605_493_0.txt 18 269 mind 35
18 ../../../data/input/txt/1605_493_0.txt 19 297 sea 91
18 ../../../data/input/txt/1605_493_0.txt 20 298 held 41
18 ../../../data/input/txt/1605_493_0.txt 21 299 fast 98
18 ../../../data/input/txt/1605_493_0.txt 22 300 everlasting 37
18 ../../../data/input/txt/1605_493_0.txt 23 301 race 69
18 ../../../data/input/txt/1605_493_0.txt 24 302 choice 8
18 ../../../data/input/txt/1605_493_0.txt 25 303 thee 54
18 ../../../data/input/txt/1605_493_0.txt 26 8 good 69
18 ../../../data/input/txt/1605_493_0.txt 27 304 bye 69
18 ../../../data/input/txt/1605_493_0.txt 28 283 life 41
18 ../../../data/input/txt/1605_493_0.txt 29 93 live 41
18 ../../../data/input/txt/1605_493_0.txt 30 305 world 35
18 ../../../data/input/txt/1605_493_0.txt 31 306 kiss 91
18 ../../../data/input/txt/1605_493_0.txt 32 307 hills 91
18 ../../../data/input/txt/1605_493_0.txt 33 285 ready 8
19 ../../../data/input/txt/1565_2180_0.txt 0 308 bible 47
19 ../../../data/input/txt/1565_2180_0.txt 1 309 antique 47
19 ../../../data/input/txt/1565_2180_0.txt 2 310 volume 47
19 ../../../data/input/txt/1565_2180_0.txt 3 311 written 47
19 ../../../data/input/txt/1565_2180_0.txt 4 312 faded 47
19 ../../../data/input/txt/1565_2180_0.txt 5 313 men 47
19 ../../../data/input/txt/1565_2180_0.txt 6 314 suggestion 47
19 ../../../data/input/txt/1565_2180_0.txt 7 315 holy 47
19 ../../../data/input/txt/1565_2180_0.txt 8 316 spectres 47
19 ../../../data/input/txt/1565_2180_0.txt 9 317 subjects 47
19 ../../../data/input/txt/1565_2180_0.txt 10 318 bethlehem 47
19 ../../../data/input/txt/1565_2180_0.txt 11 319 eden 47
19 ../../../data/input/txt/1565_2180_0.txt 12 320 ancient 81
19 ../../../data/input/txt/1565_2180_0.txt 13 321 homestead 47
19 ../../../data/input/txt/1565_2180_0.txt 14 322 satan 47
19 ../../../data/input/txt/1565_2180_0.txt 15 323 brigadier 47
19 ../../../data/input/txt/1565_2180_0.txt 16 324 judas 47
19 ../../../data/input/txt/1565_2180_0.txt 17 325 great 48
19 ../../../data/input/txt/1565_2180_0.txt 18 326 defaulter 47
19 ../../../data/input/txt/1565_2180_0.txt 19 327 david 47
19 ../../../data/input/txt/1565_2180_0.txt 20 328 troubadour 47
19 ../../../data/input/txt/1565_2180_0.txt 21 329 sin 47
